IDCARNET_ACTIVITE;IDPERSONNEL;IDOFFRES;SEMAINE;DATE_CONTRAT;TEMPS_EXTER;TEMPS_BUREAU;KILOMETRAGES;REFERENCE;MONTANT;TRANSPORT;KMTRANSPORT;NBRETRANSPORT;JUSTIFTRANS;MTTRANSPORT;PERDIEM;NBREPERDIEM;DERNIERJOUR;JUSTIFPERDIEM;FRAISDIVERS;JUSTIFDIVERS;MTFRAISDIVERS;AVANCES;MT_LOCATION;NBREPAS;NBRENUITE;JUSTIFREPAS;JUSTIFNUITE;JUSTIFDEMARCHES;VISAING;VISARES
0;0;0;0;;;;;;0,000000;;0;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;;0;1
73;47;191;5;05/02/2010;;;;;0,000000;Forfaits d‚placements;1;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;;0;0
74;47;992;6;09/02/2010;;;;;0,000000;Voiture;54;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;1;0;;;;0;0
75;47;362;6;12/02/2010;;;;;0,000000;Forfaits d‚placements;1;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;;0;0
76;47;191;7;15/02/2010;;;;;0,000000;Forfaits d‚placements;1;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;;0;0
77;47;362;8;23/02/2010;;;;;0,000000;Forfaits d‚placements;1;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;;0;0
78;47;156;7;17/02/2010;;;;;0,000000;Voiture;132;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;1;0;;;;0;0
79;47;54;8;22/02/2010;;;;;0,000000;Forfaits d‚placements;1;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;;0;0
80;47;992;8;23/02/2010;;;;;0,000000;Voiture;54;0;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;1;0;;;;0;0
81;47;950;7;19/02/2010;;;;;0,000000;Voiture;54;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;1;0;;;;0;0
82;47;191;8;23/02/2010;;;;;0,000000;Forfaits d‚placements;0;1;;0,000000;;0;0;;;;0,000000;0,000000;0,000000;0;0;;;;0;0
