IDCOMMANDES;NUMCOMMANDE;IDOFFRES;DATECOMMANDE;MONTANTHONOTAIRE;DATEDEMARRAGE;DUREE;NUMAFFAIRE;ADRESSEFACTURATION;EXONERETVA;PRECOMPTETVA
33;P-323A-08/BD;37;22/01/2008;6779661;22/01/2008;12 mois;1250-CT-08;Immeuble ABIENA -111, Rue Joseph Gomis BP 2789 - DAKAR;0;0
35;1489;39;11/07/2007;7800000;23/08/2007;2 mois;1167-CT-07;"KM 3, Bd. Du centenaire de la commune de Dakar
BP 355 - DAKAR";0;0
36;P-035-08/MP;40;18/02/2008;4100000;18/02/2008;5 mois;1267-CT-08;SacrÈ coeur III Villa N∞82 -VDN - BP 15762;0;0
37;P-033-08/BD;43;11/02/2008;2300000;11/02/2008;3 mois;1262-CT-08;Boulevard du Centenaire;0;0
38;P-020-08/BD;45;24/01/2008;1200000;24/01/2008;10 mois;1253-CT-08;9, CitÈ Milionnaire route de l'Aeroport - DAKAR;0;0
39;1905;46;04/09/2007;28917000;06/09/2007;10 mois;1174-CT-07;Bd. DIal DIOP, place de l'ONU - DAKAR;0;0
40;P-308A-07/BE;44;31/01/2008;4000000;31/01/2008;10 mois;1258-CT-08;123, Rue CARNOT DAKAR;0;0
41;P-042-08/BD;47;18/02/2008;1000000;06/03/2008;4 mois;1271-CT-08;NguÈkhoh En face hÙtel de ville;0;0
42;P-085-04/BE;48;06/04/2004;3559322;08/04/2004;9 mois;496-CT-04;BP 146 MBOUR;0;0
43;P-258A-07/BD;49;15/11/2007;5084746;15/11/2007;10 mois;1214-CT-07;9, CitÈ Millionnaire Route de l'Aeroport - DAKAR;0;0
44;P-066A-08/BD;50;17/03/2008;0;17/03/2008;;P-066A-08/BD;;0;0
47;07/149B;52;12/03/2008;5161500;01/02/2008;12 mois;1275-CT-08;Rue AimÈ CÈsaire - Fann RÈsidence / BP 16211 - DAKAR;0;0
48;P-235-07/FS;53;12/03/2008;2575000;01/02/2008;12 mois;1276-CT-08;Rue AimÈ CÈsaire - Fann RÈsidence / BP 16211 - DAKAR;0;0
